job_id,company,title,priority_v2,role_family,seniority,location,verdict,reason
together_ai_research_engineer_post_training_5179372007,together_ai,"Research Engineer, Post-Training Inference",57.6,post_training,Mid-level,San Francisco,DEFER_PT_NO_EVIDENCE,needs RLHF/DPO/GRPO hands-on
anthropic_research_engineer_post_training_5183051008,anthropic,"Anthropic Fellows Program, ML Systems & Reinforcement Learning",35.9,post_training,Entry/Junior (Fellows program),"London, UK; Ontario, CAN; Remote-Friendly, United States; Sa",EXCLUDE_NON_US,location
databricks_ai_engineer_fde_8546367002,databricks,AI Engineer - FDE (Forward Deployed Engineer),44.0,agentic_ai,Mid-level,United States,KEEP_STRETCH,
togetherai_senior_machine_learning_engineer_voice_ai_5088817007,together_ai,"Senior Machine Learning Engineer, Voice AI",52.5,applied_ml,senior,San Francisco,KEEP_STRETCH,senior_title_soft_flag
anthropic_applied_ai_engineer_startups_5387827008,anthropic,"Applied AI Architect, Startups",46.5,agentic_ai,Senior,"San Francisco, CA | New York City, NY",KEEP_STRETCH,senior_title_soft_flag
anthropic_research_engineer_code_rl_reinforcement_learning_5254364008,anthropic,"Research Engineer, Code RL (Reinforcement Learning)",60.6,post_training,mid,"San Francisco, CA | New York City, NY",DEFER_PT_NO_EVIDENCE,needs RLHF/DPO/GRPO hands-on
scaleai_frontier_agents_engineer_applied_ai_4720573005,scale_ai,Frontier Agents Engineer (Applied AI),62.1,agent_reasoning,mid,"San Francisco, CA; New York, NY",KEEP_APPLY_READY,
scaleai_senior_frontier_agents_engineer_applied_ai_4720478005,scale_ai,Senior Frontier Agents Engineer (Applied AI),60.6,agent_reasoning,senior,"San Francisco, CA; New York, NY",KEEP_APPLY_READY,senior_title_soft_flag
anthropic_applied_ai_architect_partnerships_5300430008,anthropic,"Applied AI Architect, Partnerships",39.7,agentic_ai,Senior,"San Francisco, CA | New York City, NY",KEEP_STRETCH,senior_title_soft_flag
together_ai_research_engineer_large_scale_training_5199554007,together_ai,"Research Engineer, Large-Scale Training",49.1,eval_inference,Mid-level,San Francisco,KEEP_STRETCH,
anthropic_research_engineer_performance_rl_reinforcement_learning_5160330008,anthropic,"Research Engineer, Performance RL (Reinforcement Learning)",52.2,post_training,mid,"San Francisco, CA",DEFER_PT_NO_EVIDENCE,needs RLHF/DPO/GRPO hands-on
anthropic_performance_engineer_inference_systems_5224564008,anthropic,"Performance Engineer, Inference Systems",50.2,agent_reasoning,mid,"San Francisco, CA | New York City, NY | Seattle, WA",KEEP_STRETCH,
scaleai_software_engineer_ai_enablement_4722512005,scale_ai,Software Engineer - AI Enablement,48.8,applied_ml,mid,"San Francisco, CA",KEEP_STRETCH,
anthropic_research_engineer_model_evaluations_5198255008,anthropic,"Research Engineer, Model Evaluations",53.3,eval_inference,mid,"Remote-Friendly (Travel-Required) | San Francisco, CA | New ",KEEP_STRETCH,
databricks_senior_software_engineer_ai_runtime_8582276002,databricks,"Senior Software Engineer, AI Runtime",45.0,eval_inference,senior,"Mountain View, California; San Francisco, California",KEEP_STRETCH,senior_title_soft_flag
scale_ai_infrastructure_engineer_sandbox_4716453005,scale_ai,"AI Infrastructure Engineer, Sandbox Platform",47.7,applied_ml,Mid-level,"San Francisco, CA; Seattle, WA; New York, NY",KEEP_STRETCH,
scaleai_senior_software_engineer_identity_4711898005,scale_ai,"Senior Software Engineer, Identity",49.7,applied_ml,senior,"San Francisco, CA; New York, NY; Washington, DC",KEEP_STRETCH,senior_title_soft_flag
scaleai_senior_software_engineer_public_sector_4674911005,scale_ai,"Senior Software Engineer, Public Sector",45.4,applied_ml,senior,"San Francisco, CA; St. Louis, MO; New York, NY; Washington, ",KEEP_STRETCH,senior_title_soft_flag
scaleai_software_engineer_identity_4710484005,scale_ai,"Software Engineer, Identity",50.2,applied_ml,mid,"San Francisco, CA; New York, NY; Washington, DC",KEEP_STRETCH,
databricks_ai_engineer_gtm_analytics_8638847002,databricks,AI Engineer — GTM Analytics,49.4,other,Mid-level,United States,EXCLUDE_NOT_TARGET,sales_gtm_consult
anthropic_software_engineer_rl_data_5238606008,anthropic,"Software Engineer, RL Data",53.3,applied_ml,mid,"San Francisco, CA | New York City, NY",KEEP_STRETCH,
scaleai_ai_infrastructure_engineer_serving_platform_4717977005,scale_ai,"AI Infrastructure Engineer, Serving Platform",41.9,applied_ml,mid,"London, UK",EXCLUDE_NON_US,location
scaleai_software_engineer_data_infrastructure_4708221005,scale_ai,"Software Engineer, Data Infrastructure",45.1,applied_ml,mid,"New York, NY; Washington, DC",KEEP_STRETCH,
youcom_senior_search_engineer_4904872008,you_com,Senior Search Engineer,44.2,agentic_ai,senior,"San Francisco, CA (Remote)",KEEP_STRETCH,senior_title_soft_flag
anthropic_research_engineer_machine_learning_rl_velocity_5198108008,anthropic,"Research Engineer, Machine Learning (RL Velocity)",51.1,post_training,mid,"Remote-Friendly (Travel-Required) | San Francisco, CA | New ",DEFER_PT_NO_EVIDENCE,needs RLHF/DPO/GRPO hands-on
scaleai_research_scientist_ai_controls_and_monitoring_4675694005,scale_ai,"Research Scientist, AI Controls and Monitoring",53.8,applied_ml,mid,"San Francisco, CA; New York, NY",KEEP_STRETCH,
anthropic_research_engineer_domain_scaling_5271380008,anthropic,"Research Engineer, Domain Scaling",50.0,applied_ml,mid,"San Francisco, CA | New York City, NY | Seattle, WA",KEEP_STRETCH,
scaleai_senior_software_engineer_data_platform_4717101005,scale_ai,"Senior Software Engineer, Data Platform",44.0,applied_ml,senior,"London, UK",EXCLUDE_NON_US,location
anthropic_research_engineer_computer_use_5285246008,anthropic,"Research Engineer, Computer Use",54.9,applied_ml,mid,"San Francisco, CA | New York City, NY | Seattle, WA",KEEP_STRETCH,
anthropic_software_engineer_infrastructure_interpretability_5388612008,anthropic,"Software Engineer, Infrastructure, Interpretability",50.2,applied_ml,mid,"San Francisco, CA",KEEP_STRETCH,
scaleai_machine_learning_engineer_platform_4711544005,scale_ai,"Machine Learning Engineer, Platform",42.7,applied_ml,mid,"London, UK",EXCLUDE_NON_US,location
anthropic_machine_learning_infrastructure_engineer_safeguards_research_5364804008,anthropic,"Machine Learning Infrastructure Engineer, Safeguards Research",50.0,applied_ml,mid,"San Francisco, CA | New York City, NY",KEEP_STRETCH,
anthropic_research_engineer_machine_learning_rl_velocity_5198074008,anthropic,"Research Engineer, Machine Learning (RL Velocity)",46.1,post_training,mid,"London, UK",EXCLUDE_NON_US,location
scaleai_senior_software_engineer_identity_4715352005,scale_ai,"Senior Software Engineer, Identity",43.4,applied_ml,senior,"London, UK",EXCLUDE_NON_US,location
databricks_sr_software_engineer_cxi_8617901002,databricks,Sr Software Engineer- CXI,45.8,applied_ml,mid,"Mountain View, California; San Francisco, California",KEEP_STRETCH,
scaleai_ai_infrastructure_engineer_sandbox_platform_4717105005,scale_ai,"AI Infrastructure Engineer, Sandbox Platform",42.7,applied_ml,mid,"London, UK",EXCLUDE_NON_US,location
scaleai_research_scientist_agent_robustness_4675684005,scale_ai,"Research Scientist, Agent Robustness",55.8,agentic_ai,mid,"San Francisco, CA; New York, NY",KEEP_APPLY_READY,
scaleai_vp_research_4611448005,scale_ai,"VP, Research",48.7,post_training,mid,"San Francisco, CA; New York, NY",DEFER_PT_NO_EVIDENCE,needs RLHF/DPO/GRPO hands-on
anthropic_red_team_engineer_safeguards_5320469008,anthropic,"Red Team Engineer, Safeguards",48.3,agentic_ai,mid,"Remote-Friendly (Travel Required) | San Francisco, CA",KEEP_STRETCH,
anthropic_research_scientist_takeoff_intel_5370669008,anthropic,"Research Scientist, Takeoff Intel",49.7,applied_ml,mid,"San Francisco, CA",KEEP_STRETCH,
databricks_sr_it_site_reliability_software_engineer_8493168002,databricks,Sr. IT Site Reliability Software Engineer,39.6,applied_ml,senior,Costa Rica,EXCLUDE_NOT_TARGET,"sre_infra_ops,it_ops"
youcom_senior_ai_engineer_5282664008,you_com,Senior AI Engineer,46.8,agentic_ai,senior,San Francisco (Hybrid),KEEP_STRETCH,senior_title_soft_flag
youcom_senior_ai_engineer_product_engineering_5231873008,you_com,"Senior AI Engineer, Product Engineering",41.6,applied_ml,senior,San Francisco (Remote),KEEP_STRETCH,senior_title_soft_flag
anthropic_infrastructure_capacity_planner_demand_planning_5382744008,anthropic,"Infrastructure Capacity Planner, Demand Planning",47.0,agent_reasoning,mid,"San Francisco, CA | New York City, NY",KEEP_STRETCH,
databricks_sr_software_engineer_infrastructure_8493170002,databricks,"Sr Software Engineer, Infrastructure",42.6,applied_ml,mid,"San Francisco, California",KEEP_STRETCH,
scaleai_field_engineer_public_sector_4717648005,scale_ai,"Field Engineer, Public Sector",41.6,applied_ml,mid,"Austin, TX; St. Louis, MO; Washington, DC",KEEP_STRETCH,
togetherai_ai_infrastructure_systems_engineer_5138540007,together_ai,AI Infrastructure Systems Engineer,44.1,applied_ml,mid,San Francisco,KEEP_STRETCH,
anthropic_research_engineer_rl_scaling_science_5264619008,anthropic,"Research Engineer, RL Scaling Science",47.3,post_training,mid,"London, UK",EXCLUDE_NON_US,location
togetherai_software_engineer_customer_insights_5196805007,together_ai,"Software Engineer, Customer Insights",43.7,applied_ml,mid,San Francisco,KEEP_STRETCH,
scaleai_research_scientist_frontier_risk_evaluations_4677657005,scale_ai,"Research Scientist, Frontier Risk Evaluations",48.1,eval_inference,mid,"San Francisco, CA; New York, NY",KEEP_STRETCH,
scaleai_software_engineer_platform_4703527005,scale_ai,"Software Engineer, Platform",37.1,applied_ml,mid,"London, UK",EXCLUDE_NON_US,location
xai_ml_infrastructure_engineer_5193037007,xai,ML Infrastructure Engineer,47.5,applied_ml,mid,"Palo Alto, California",KEEP_STRETCH,
anthropic_safeguards_enforcement_analyst_user_well_being_5374778008,anthropic,"Safeguards Enforcement Analyst, User Well-being",48.1,eval_inference,mid,"Remote-Friendly, United States; San Francisco, CA | New York",EXCLUDE_NOT_TARGET,tands_analyst
togetherai_ai_infrastructure_system_engineer_bangalore_5180155007,together_ai,AI infrastructure System Engineer Bangalore,40.1,applied_ml,mid,"Bangalore, India",EXCLUDE_NON_US,location
anthropic_data_engineer_safeguards_5240422008,anthropic,"Data Engineer, Safeguards",46.0,applied_ml,mid,"San Francisco, CA | New York City, NY",EXCLUDE_NOT_TARGET,data_eng
anthropic_research_engineer_research_scientist_pre_training_5135168008,anthropic,"Research Engineer / Research Scientist, Pre-training",43.6,post_training,mid,"Zürich, CH",EXCLUDE_NON_US,location
anthropic_safeguards_enforcement_analyst_integrity_authenticity_5311149008,anthropic,"Safeguards Enforcement Analyst, Integrity & Authenticity",45.6,applied_ml,mid,"Remote-Friendly, United States; San Francisco, CA | New York",EXCLUDE_NOT_TARGET,tands_analyst
anthropic_software_engineer_desktop_5367585008,anthropic,"Software Engineer, Desktop",43.0,applied_ml,mid,"San Francisco, CA | New York City, NY",KEEP_STRETCH,
scaleai_software_engineer_arc_team_4673771005,scale_ai,"Software Engineer, ARC Team",42.5,applied_ml,mid,"San Francisco, CA; St. Louis, MO; New York, NY; Washington, ",KEEP_STRETCH,
anthropic_product_engineer_applied_ai_5390799008,anthropic,"Product Engineer, Applied AI",42.8,applied_ml,mid,"Tokyo, Japan",EXCLUDE_NON_US,location
anthropic_safeguards_enforcement_analyst_violence_extremism_5343907008,anthropic,"Safeguards Enforcement Analyst, Violence & Extremism",48.6,eval_inference,mid,"Remote-Friendly, United States; San Francisco, CA | New York",EXCLUDE_NOT_TARGET,tands_analyst
databricks_senior_software_engineer_multi_cloud_efficiency_8602402002,databricks,Senior Software Engineer - Multi Cloud Efficiency,38.2,applied_ml,senior,"Bengaluru, India",EXCLUDE_NON_US,location
