company_slug,company_name,careers_url,ats_platform,h1b_sponsor,company_tier,sector,size,last_checked,open_roles_count,contacts_count,notes,company_category,company_priority,company_quality,research_strength,major_ai_initiatives,relevant_teams,agentic_work,post_training_work,reasoning_work,ai_infrastructure_work,security_domain_relevance,asymmetric_advantage,known_connections,referral_opportunities,next_research_date
cohere,Cohere,https://jobs.ashbyhq.com/cohere,ashby,yes,T1,AI/ML,200-500,2026-08-22,150,48,"T1 Quick Win. Strong profile fit, H-1B sponsor, GT alumni, existing connections. NYC office expanding. Agentic AI team actively hiring. 8 existing 1st connections. | 2026-08-22: MIGRATED Greenhouse->Ashby (boards-api 404). 150 listed jobs on jobs.ashbyhq.com/cohere; 24 US/Canada tech roles added [2026-08-22: ATS migrated Greenhouse->Ashby; boards-api 404; 150 open roles via ashby posting-api]",ai_native_leader,P0,80,80,Command models; Aya multilingual; Embeddings/Search,Applied Research; Agentic AI; Platform; Toronto Research,yes,yes,yes,partial,none,8 existing 1st connections; 4 GT alumni,41 contacts in contacts.csv,high (P0 connections),
salesforce,Salesforce Research,https://salesforce.wd1.myworkdayjobs.com/Salesforce_Careers,workday,yes,T1,Enterprise AI,10000+,2026-08-21,0,0,"T1 Quick Win. Strong GT pipeline, H-1B sponsor, Agentic AI team expanding. Einstein GPT, production ML at massive scale.",enterprise_ai,P1,75,70,Einstein GPT; Agentforce; Applied Research,Agentic AI; Applied Research; ML Platform,yes,unknown,partial,yes,none,GT pipeline; enterprise ML scale story,,unknown,
servicenow,ServiceNow,https://servicenow.wd1.myworkdayjobs.com/ServiceNow,workday,yes,T1,Enterprise AI,10000+,2026-08-21,0,0,"T1 Quick Win. Agentic workflows, strong H-1B, GT alumni in Hyderabad/Santa Clara.",,P0,70,,,,,,,,,,,,
snowflake,Snowflake,https://careers.snowflake.com/,greenhouse,yes,T1,Data/AI,5000+,2026-08-21,0,0,"T1 Quick Win. Strong GT pipeline, Cortex AI expanding, H-1B sponsor.",,P0,70,,,,,,,,,,,,
palantir,Palantir,https://www.palantir.com/careers/,greenhouse,yes,T1,Security/AI,3000+,2026-08-21,0,0,"T1 Quick Win. Security/defense background relevant (Fortinet), production ML at scale.",,P0,70,,,,,,,,,,,,
databricks,Databricks,https://www.databricks.com/company/careers,greenhouse,yes,T1,Data/AI,5000+,2026-08-21,0,0,"T1 Quick Win. Mosaic AI, MLflow, strong GT alumni, H-1B sponsor.",ai_infrastructure,P1,85,75,Mosaic AI; MLflow; Agent Bricks,Mosaic AI; ML Platform; Inference; Agentic AI,yes,partial,partial,yes,none,Strong GT alumni,,medium,
together_ai,Together AI,https://www.together.ai/careers,greenhouse,yes,T1,AI/ML,200-500,2026-08-22,64,0,"T1 Quick Win. vLLM core team, ARTEMIS direct alignment, open source friendly. | 2026-08-22: board sweep 64 open jobs; 20 already tracked, 8 new infra/SWE roles added [2026-08-22 live check: 64 open on Greenhouse board togetherai; 20 already tracked]",ai_infrastructure,P1,80,75,vLLM core team; open-source inference; RedPajama,Inference; vLLM; Research; Model Serving,partial,yes,partial,yes,none,ARTEMIS/vLLM direct alignment,,unknown,
fireworks_ai,Fireworks AI,https://fireworks.ai/careers,greenhouse,yes,T1,AI/ML,100-200,2026-08-21,0,0,"T1 Quick Win. Compound AI, routing, ARTEMIS direct alignment.",,P0,70,,,,,,,,,,,,
anyscale,Anyscale,https://www.anyscale.com/careers,greenhouse,yes,T1,AI/ML,200-500,2026-08-21,0,0,"T1 Quick Win. Ray core, CERBERUS DDP alignment, distributed training expertise.",,P0,70,,,,,,,,,,,,
scale_ai,Scale AI,https://scale.ai/careers,greenhouse,yes,T1,AI/ML,1000+,2026-08-21,0,0,"T1 Quick Win. Evaluation focus, CAD eval harness alignment, H-1B sponsor.",ai_infrastructure,P1,78,70,Data Engine; SEIL; Frontier data for post-training,Frontier Agents; Evaluation; Data Engine,yes,yes,yes,yes,none,Eval harness story (CAD 202 tests),,unknown,
wandb,Weights & Biases,https://wandb.ai/site/careers,greenhouse,yes,T1,MLOps,200-500,2026-08-21,0,0,"T1 Quick Win. CERBERUS/W&B usage, evaluation platform, MLOps.",,P0,70,,,,,,,,,,,,
reka,Reka,https://www.reka.ai/careers,greenhouse,yes,T1,AI/ML,100-200,2026-08-21,0,0,"T1 Quick Win. Multimodal agents, VLM/ARTEMIS alignment, small team high impact.",,P0,70,,,,,,,,,,,,
character_ai,Character.AI,https://character.ai/careers,greenhouse,yes,T1,AI/ML,100-200,2026-08-21,0,0,"T1 Quick Win. Consumer agentic AI, multi-agent/ATHENA alignment, high traffic.",,P0,70,,,,,,,,,,,,
runway,Runway,https://runwayml.com/careers,greenhouse,yes,T1,AI/ML,200-500,2026-08-21,0,0,"T1 Quick Win. Generative video, VLM/multimodal, NYC-based.",,P0,70,,,,,,,,,,,,
cisco,Cisco,https://jobs.cisco.com/,greenhouse,yes,T1,Security/AI,80000+,2026-08-21,0,0,"T1 Quick Win. DIRECT COMPETITOR (Fortinet). Threat Intel, Detection, Security AI. High GT alumni.",security_ai,P0,70,55,AI Defense; Talos threat intelligence ML,Threat Intelligence; Detection Engineering; ML Platform; Security AI,partial,unknown,partial,partial,direct (Fortinet competitor),Fortinet alumni network; domain credibility; patent adjacency,,unknown,
nvidia,NVIDIA,https://www.nvidia.com/en-us/about-nvidia/careers/,greenhouse,yes,T2,Semiconductor/AI,20000+,2026-08-21,0,0,"T2 Target. CERBERUS H100/A100, strong GT alumni, inference + training.",,P1,65,,,,,,,,,,,,
google,Google,https://careers.google.com/,greenhouse,yes,T2,Big Tech/AI,150000+,2026-08-21,0,0,"T2 Target. JAX gap but strong systems background, TPU inference, massive scale.",,P1,65,,,,,,,,,,,,
meta,Meta,https://www.metacareers.com/,greenhouse,yes,T2,Big Tech/AI,70000+,2026-08-21,0,0,"T2 Target. DDP/vLLM alignment, Llama, massive GPU clusters, H-1B sponsor.",,P1,65,,,,,,,,,,,,
microsoft,Microsoft,https://careers.microsoft.com/,greenhouse,yes,T2,Big Tech/AI,200000+,2026-08-21,0,0,"T2 Target. Fortinet Azure experience, ONNX, Phi models, GitHub Copilot agentic.",,P1,65,,,,,,,,,,,,
amazon,Amazon,https://www.amazon.jobs/,greenhouse,yes,T2,Big Tech/AI,1500000+,2026-08-21,0,0,"T2 Target. Production ML at massive scale, SageMaker, Bedrock, H-1B sponsor.",,P1,65,,,,,,,,,,,,
xai,xAI,https://x.ai/careers,greenhouse,yes,T2,AI/ML,100-200,2026-08-21,0,0,"T2 Target. High bar but agentic focus, massive compute, fast moving.",ai_native_leader,P2,82,80,Grok; massive compute training,Training; Inference; Agents,yes,yes,yes,yes,none,none known,,low,
ai2,AI2,https://allenai.org/careers,greenhouse,yes,T2,AI Research,100-200,2026-08-21,0,0,"T2 Target. Open source research, OLMo, evaluation focus, Seattle-based.",,P1,65,,,,,,,,,,,,
sierra_ai,Sierra AI,https://www.sierra.ai/careers,greenhouse,yes,T2,AI/ML,100-200,2026-08-21,0,0,"T2 Target. Bret Taylor, agentic consumer AI, ATHENA/CAD alignment.",,P1,65,,,,,,,,,,,,
cognition,Cognition,https://cognition.ai/careers,greenhouse,yes,T2,AI/ML,50-100,2026-08-21,0,0,"T2 Target. Devin agentic coder, CAD pipeline direct fit, high profile.",,P1,65,,,,,,,,,,,,
adept,Adept,https://www.adept.ai/careers,greenhouse,yes,T2,AI/ML,100-200,2026-08-21,0,0,"T2 Target. ACT models, action transformers, multi-agent/ATHENA alignment.",,P1,65,,,,,,,,,,,,
openai,OpenAI,https://openai.com/careers,greenhouse,yes,T3,AI/ML,1000+,2026-08-21,0,0,"T3 Stretch. PhD preferred, publication filter, referral MANDATORY, arXiv preprints needed.",,P2,55,,,,,,,,,,,,
anthropic,Anthropic,https://www.anthropic.com/careers,greenhouse,yes,T3,AI/ML,500-1000,2026-08-21,0,0,"T3 Stretch. Frontier eval/inference, PhD preferred, referral MANDATORY, arXiv preprints needed.",frontier_lab,P2,90,95,Claude; Constitutional AI; Alignment research,Applied AI; Post-Training; Evals; Safeguards,yes,yes,yes,partial,partial (cyber safeguards),Security background fits Safeguards teams,,low-moderate,
deepmind,DeepMind,https://www.deepmind.com/careers,greenhouse,yes,T3,AI Research,1000+,2026-08-21,0,0,"T3 Stretch. PhD strong pref, London/US visa complexity, only if explicit MS roles + referral.",,P2,55,,,,,,,,,,,,
