post_id,poster_name,poster_headline,poster_type,company,team_or_org,post_url,posted_date,discovered_date,roles_mentioned,application_url,connection_degree,shared_context,priority,role_family,status,notes
tesla_2026-08-22_4c56d3dd,Samir Govilkar,Senior Staff Software Engineer at Tesla,engineer_researcher,Tesla,,https://www.linkedin.com/in/samirgovilkar/,2026-08-22,2026-08-22,Intern Embedded SW AI Platforms,https://www.tesla.com/careers/search/job/internship-embedded-software-engineer-ai-platforms-fall-2026-269819,2nd,,normal,applied_ml,new,"If you are still looking for an internship for Fall 2026, my team is looking for great candidates! You can contact me, Jinkyu Song or Shaq Harris. https://lnkd.in/gDVQyaG6 Internship, Embedded Software Engineer, AI Platforms (Fall 2026) | Tesla Careers Internship, Embedded Software Engineer, AI Plat"
apple_2026-08-22_55165410,"Chelsea Elwood, CDR","Senior Technology Recruiter @ Apple | AIML | Responsible AI & Safety | Privacy Preserving Machine Learning | Scaling Software, Hardware, and Product Engineering Teams",recruiter,Apple,,https://www.linkedin.com/in/chelseaelwood/,2026-08-22,2026-08-22,ML Engineer Red Teaming,https://www.apple.com/careers/us/work-at-apple/teams.html,1st,,high,ai_security,new,Happy Friday network! Apple's AIML Responsible AI and Safety Team is hiring a Machine Learning Engineer role to work on the red-teaming function — a dedicated team focused on actively probing Apple Intelligence features to find real safety vulnerabilities. If you have Red Teaming experience please a
cohere_2026-08-22_cf2e05db,Natalie W.,"Talent Partner @ Cohere | Scaling Global AI/ML, Engineering & Executive Teams | Hyper-Growth, Pre-IPO & Public Market Transitions",recruiter,Cohere,,https://www.linkedin.com/in/nataliedwilson/,2026-08-22,2026-08-22,EM GPU Infrastructure,https://bit.ly/3RYxRxy,Following,,high,eval_inference,new,"Hot off the press! 🔥 We're looking for an Engineering Manager to lead Cohere's GPU Clusters team - the group that builds and operates the superclusters training our frontier AI models. This is where hardware, distributed systems, and #AI research collide to solve problems few companies ever get to t"
toyota_2026-08-22_0568a8b9,Mani Selvaraj,Director of AI/ML Platform @ Toyota,hiring_manager,Toyota,,https://www.linkedin.com/in/manimaran/,2026-08-22,2026-08-22,Lead AI/ML Platform Engineer,https://toyota.wd503.myworkdayjobs.com/TMNA/job/Plano-Texas/Lead-AI-ML-Platform-Engineer_10326533,2nd,,high,applied_ml,new,"Hiring Alert! 🚀 Looking for a Lead AI/ML Platform Engineer to join us in Plano, TX. This is an on-site role — no remote. Direct candidates only — no recruitment agencies, please. Apply directly here: https://lnkd.in/gDiTRebK Feel free to share with someone who might be a good fit! Lead AI/ML Platfor"
meta_2026-08-22_7496664189,Jerry Yu,Senior ML Engineering Manager at Instagram,hiring_manager,Meta,Instagram — Long Form Content Recommendations,https://www.linkedin.com/feed/update/urn:li:activity:7496664189453774849/,2026-08-22,2026-08-22,"IC4–IC6 ML/SWE, recommendations for IG Mobile & TV",,2nd,,high,applied_ml,new,New position post; explicitly hiring IC4-IC6 recsys; DM path offered
together_ai_2026-07-25_62d22337,Ted Cui,Inference Platform team @ Together AI (resharing Together AI inference platform launch),engineer_researcher,Together AI,Inference Platform,https://www.linkedin.com/posts/tedcui_proud-of-what-our-inference-platform-team-activity-7486611342389354496-qWfR,2026-07-25,2026-08-22,"large-scale AI infrastructure and inference systems engineers (we're hiring, come build with us)",,unclear,T1 target; direct ARTEMIS/vLLM/inference-platform alignment (P5 secondary family),high,eval_inference,new,"posted_date estimated from activity ID; SLO-driven autoscaling, multi-region, RL-for-training closed beta mentioned"
cohere_2026-04-13_6059cde1,Sam Corzine,"Senior Manager, Applied ML at Cohere",hiring_manager,Cohere,Applied ML,https://www.linkedin.com/posts/sam-corzine-41b613107_cohere-jobs-activity-7449516776805015553-9NZA,2026-04-13,2026-08-22,MLEs across a wide range of seniority; commenter references Applied AI Engineer - Agentic Workflows role,,unclear,T1; Applied ML spans pre-training to RL; DM/reach-out path offered,high,agentic_ai,new,older post but HM explicitly invites outreach; verify roles still open before applying
cohere_2026-06-11_a1273e17,Harvinder Ghotra,(title not shown in snippet) — posting Cohere infra hiring,other,Cohere,Infrastructure,https://www.linkedin.com/posts/ghotra_cohere-is-hiring-across-a-number-of-infrastructure-focused-activity-7470812279949877249-Jppg,2026-06-11,2026-08-22,AI inference and model serving infrastructure; systems and performance engineering (GPU); Kubernetes/distributed systems,,unclear,T1; P5 eval/inference family,normal,eval_inference,new,verify poster title before outreach
applied_intuition_2026-08-19_5c39a194,Applied Intuition (company page),,other,Applied Intuition,,https://www.linkedin.com/company/applied-intuition,2026-08-19,2026-08-22,physical AI engineers (general; no specific roles in post),https://lnkd.in/gSWc_9N5,unclear,T4-adjacent (autonomy/simulation); vision/multimodal accepted per preferences,normal,applied_ml,new,company post via feed; URN not extractable; post_url is company page proxy
sixtyfour_2026-08-22_d0a3a5b8,Henry Wang,Founding Engineer @ Sixtyfour,founder,Sixtyfour,,https://www.linkedin.com/in/henry00c/,2026-08-22,2026-08-22,AI Engineer (agents); intern,henry@sixtyfour.ai (email) / DM,2nd,2nd-degree; SF agentic startup; 'built something with agents' = CAD/ATHENA direct fit,high,agentic_ai,new,"urn not in DOM; post_url = profile proxy; DM/email path, no formal req"
