job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,audit_verdict,audit_reasons,audit_date,application_ids,referral_contacts,referral_contact_urls,days_since_checked,attention_reasons
anthropic_research_engineer_code_rl_reinforcement_learning_5254364008,anthropic,"Research Engineer, Code RL (Reinforcement Learning)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5254364008,https://job-boards.greenhouse.io/anthropic/jobs/5254364008,greenhouse,2026-08-21,2026-06-11,,open,81,B,post_training,mid,"You may be a good fit if you: Have strong software-engineering skills and deep Python expertise, including async/concurrent programming. | Are passionate about the potential impact of AI and are committed to developing safe and beneficial systems Strong candidates may also have: Experience with reinforcement learning, RLHF, post-training | Experience with PyTorch and large-scale distributed training; performance profiling and optimization of ML systems CUDA / GPU or TPU kernel experience and accelerator-performance intuition. | Experience with virtualization and sandboxed code execution environments. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); PyTorch; Python; RL coursework + PPO/GRPO research (GT); RLHF familiarity; post-training research alignment; agent systems (ATHENA supervisor-worker),,RL_Post_Training,medium,low,2026-09-04,,dba0869999198f2c,tracking/job_descriptions/active/anthropic__Research_Engineer_Code_RL_Reinforcement_Learning__5254364008.md,false,anthropic,gh_5254364008,,,,L3,OPTIMISTIC,60.6,"fit=10.0 research=6.55(+agentic,agents,alignment,grpo,long-horizon) tech=3.15 agentic=1.56(+agentic) pt=6.15(+alignment,grpo,post-training,preference) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=6.0 referral=1.5 loc=3.0 urgency=1.0",medium,,,2026-09-06,50.0,16.7,cuda; optimization; profiling; python; pytorch; rag,golang; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,useful,,2026-08-26,,,,2,expired_soon;thin_jd
anthropic_research_engineer_domain_scaling_5271380008,anthropic,"Research Engineer, Domain Scaling","San Francisco, CA | New York City, NY | Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5271380008,https://job-boards.greenhouse.io/anthropic/jobs/5271380008,greenhouse,2026-08-21,2026-06-19,,open,68,C,applied_ml,mid,"Have experience with fine-tuning large language models for specific domains or real-world use cases. | Have experience with reinforcement learning, reward design, or training data curation for LLMs. | Have experience training production ML systems. | Have experience designing evals or benchmarks for LLMs. | Have domain expertise in a vertical where we would like to make our models more useful. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",RAG pipelines (Fortinet); RL coursework + PPO/GRPO research (GT); LLM evaluation work; benchmarking,,applied_ml,medium,medium,2026-08-21,,7eeef32ccfd56c91,tracking/job_descriptions/active/anthropic__Research_Engineer_Domain_Scaling__5271380008.md,false,anthropic,gh_5271380008,false,,,L4,STRETCH,50.0,"fit=10.0 research=4.91(+benchmark,evaluation,fine-tuning,grpo,multimodal) tech=0.45 agentic=0.0(+) pt=2.46(+grpo,preference,reinforcement learning) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=5.0 referral=1.5 loc=3.0 urgency=1.0",medium,,,2026-09-06,42.2,3.7,data pipelines; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,,2026-08-23,,,useful,,2026-08-26,,,,16,expired_soon;thin_jd
anthropic_research_engineer_rl_scaling_science_5264619008,anthropic,"Research Engineer, RL Scaling Science","London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5264619008,https://job-boards.greenhouse.io/anthropic/jobs/5264619008,greenhouse,2026-08-21,2026-06-22,,open,61,C,post_training,mid,"Key responsibilities Design, run, and interpret large-scale RL experiments, reasoning rigorously about what the data does and doesn't show Investigate how RL improves as horizon, compute, and model si | Demonstrated ability to own large experiments end-to-end, from design through interpretation Proficiency in Python and experience working with large-scale or distributed ML systems Comfort operating a | Experience translating research findings into production training recipes. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",RAG pipelines (Fortinet); Python; RL coursework + PPO/GRPO research (GT); LLM evaluation work; benchmarking,,RL_Post_Training,medium,low,2026-08-21,"audit 2026-08-26: borderline - Role content fits target profile: Research Engineer doing RL experiments, long-horizon benchmarks, and research-to-production translation maps well to candidate's academic RL (PPO/DQN/reward shaping) and benchmark-harness experience (202-test CAD harness, ARTEMIS); No explicit years-of-experience minimum stated; internal-level phrasing avoids a hard >4.5yr exclusion",d22ad13ce3ec15fc,tracking/job_descriptions/active/anthropic__Research_Engineer_RL_Scaling_Science__5264619008.md,false,anthropic,gh_5264619008,false,,,L4,STRETCH,47.3,"fit=10.0 research=5.73(+benchmark,evaluation,grpo,long-horizon,multimodal) tech=0.9 agentic=0.0(+) pt=2.46(+grpo,preference,reinforcement learning) attainability=10.0['no_years_bar', 'location_hard_mismatch'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=6.0 referral=1.5 loc=0.5 urgency=1.0",medium,,,2026-09-06,43.4,5.6,python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,borderline,,2026-08-26,,,,16,expired_soon;thin_jd
youcom_senior_ai_engineer_product_engineering_5231873008,you_com,"Senior AI Engineer, Product Engineering",San Francisco (Remote),https://job-boards.greenhouse.io/youcom/jobs/5231873008,https://job-boards.greenhouse.io/youcom/jobs/5231873008,greenhouse,2026-08-21,2026-06-15,,open,63,C,applied_ml,senior,"The insights you bring back from the field will directly shape what we build next. | What you'll bring 5+ years of experience spanning engineering and product roles, with significant time spent on developer-facing or API products. | Deep familiarity with the AI agent and LLM ecosystem — you understand how agents are being built, where retrieval fits in, and where the current tooling falls short. | A track record of owning ambiguous, high-stakes problems end-to-end. | You have a public footprint — open-source, writing, talks — in the AI or developer-tools space. | By continuing with the application process, you acknowledge that you have read this notice. | If AI-assisted tools are used during your interview and you have not opted out after receiving notice, you consent to their use as described above, where permitted by applicable law.",RAG pipelines (Fortinet); retrieval systems; PPO research (CAD); LLM evaluation work; agent systems (ATHENA supervisor-worker),production LLM deployment at scale,applied_ml,medium,medium,2026-08-21,"audit 2026-08-26: borderline - Requires 5+ years spanning engineering and product roles; candidate has ~4.5 years, slightly below stated minimum without explicit flexibility phrasing; Role is a hybrid product-engineering + GTM position (API roadmap ownership, customer calls, sales support) rather than a pure ML/AI engineering or research role, only partially matching candidate's target IC profiles",58e31415622660fc,tracking/job_descriptions/active/youcom__Senior_AI_Engineer_Product_Engineering__5231873008.md,false,you_com,gh_5231873008,false,,,L4,STRETCH,41.6,"fit=10.0 research=3.82(+agents,evaluation,prototype,rag,research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=10.5[] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=4.8 strategy=5.0 referral=1.5 loc=3.0 urgency=1.0",medium,visa sponsorship unverified,,2026-09-06,42.2,3.7,ppo; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,,2026-08-23,,,borderline,,2026-08-26,,,,16,expired_soon;thin_jd;visa sponsorship unverified
cohere_software_engineer_agents_automations_ash_4a3c3eb2,Cohere,"Software Engineer, Agents & Automations",London,https://jobs.ashbyhq.com/cohere/4a3c3eb2-ae2e-4a86-a677-7bdecbc7d76e,https://jobs.ashbyhq.com/cohere/4a3c3eb2-ae2e-4a86-a677-7bdecbc7d76e,ashby,2026-08-23,2026-06-15,,open,0,,agentic_ai,unknown,"As an engineer on this team, you will help build the core platform that makes this possible: the workflow builder, execution engine, integrations, debugging tools, observability, evaluation systems, a | AS A SOFTWARE ENGINEER, AGENTS & AUTOMATIONS, YOU WILL:. | You have built, shipped, and operated production software used by real users or customers.. | You have strong product judgment, pay close attention to user experience details, and care deeply about whether your work helps the end user.. | You bring high agency: you act, tinker, learn quickly, and drive change without waiting for perfect instructions.. | We care more about strong fundamentals, product judgment, agency, and learning ability than prior experience with every part of the stack.",RAG pipelines (Fortinet); Python; PPO research (CAD); LLM evaluation work; agent systems (ATHENA supervisor-worker); Kubernetes,production LLM deployment at scale; Kubernetes/cloud infra,,,,2026-08-23,"lab deep-sweep 2026-08-23; board=ashby; us_location=check | audit 2026-08-26: borderline - Strong topical fit: agentic workflows, evaluation systems, feedback loops map directly to candidate's agentic AI and eval-harness background; No explicit years-of-experience bar; 'production software shipped' phrasing is flexible and within candidate's 4.5 yrs",26b6f4428a554917,tracking/job_descriptions/active/cohere__software_engineer_agents_automations__4a3c3eb2-ae2e-4a.md,,cohere,ashby_4a3c3eb2-ae2e-4a86-a677-7bdecbc7d76e,,2026-08-23,,L4,STRETCH,41.1,"fit=10.0 research=3.27(+agentic,agents,evaluation,rag,research) tech=0.9 agentic=1.56(+agentic) pt=0.0(+) attainability=9.0['no_years_bar', 'location_hard_mismatch'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.4 strategy=6.0 referral=0.5 loc=0.5 urgency=1.0",medium,visa sponsorship unverified,,2026-09-06,44.4,7.4,ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,borderline,,2026-08-26,,,,14,expired_soon;thin_jd;visa sponsorship unverified
cohere_software_engineer_adoption_ash_732c05f5,Cohere,"Software Engineer, Adoption",London,https://jobs.ashbyhq.com/cohere/732c05f5-a9ec-43a3-9ae4-3ec7f7630fff,https://jobs.ashbyhq.com/cohere/732c05f5-a9ec-43a3-9ae4-3ec7f7630fff,ashby,2026-08-23,2026-06-19,,open,0,,agentic_ai,unknown,"As an engineer on this team, you will help build the core platform that makes this possible: the workflow builder, execution engine, integrations, debugging tools, observability, evaluation systems, a | You have at least two years' experience. | You have strong coding abilities and are comfortable working across the stack.. | You have built and deployed extremely performant client-side or server-side RAG/agentic applications to millions of users.. | Bonus: You love art and have an eye for design and a creative mindset - A plus, if you have a portfolio, GitHub or other showcases of your projects Our stack includes Python, TypeScript with React, Po | We care more about strong fundamentals, product judgment, agency, and learning ability than prior experience with every part of the stack.",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); Python; PPO research (CAD); LLM evaluation work; agent systems (ATHENA supervisor-worker); Kubernetes,production LLM deployment at scale; Kubernetes/cloud infra,,,,2026-08-23,"lab deep-sweep 2026-08-23; board=ashby; us_location=check | audit 2026-08-26: borderline - Role content aligns with candidate's agentic AI/RAG/evaluation strengths (North Agents & Automations platform), but core requirement is fullstack Python+React product engineering, where candidate shows no React/frontend depth; London-based role conflicts with candidate's stated US-based or Remote-US targeting",abccccb3af5ae830,tracking/job_descriptions/active/cohere__software_engineer_adoption__732c05f5-a9ec-43.md,,cohere,ashby_732c05f5-a9ec-43a3-9ae4-3ec7f7630fff,,2026-08-23,,L4,STRETCH,40.7,"fit=8.0 research=3.27(+agentic,agents,evaluation,rag,research) tech=0.9 agentic=3.12(+agentic,autonomous agents) pt=0.0(+) attainability=9.0['no_years_bar', 'location_hard_mismatch'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.4 strategy=6.0 referral=0.5 loc=0.5 urgency=1.0",medium,visa sponsorship unverified,,2026-09-06,44.4,7.4,ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,borderline,,2026-08-26,,,,14,expired_soon;thin_jd;visa sponsorship unverified
scaleai_software_engineer_platform_4703527005,scale_ai,"Software Engineer, Platform","London, UK",https://job-boards.greenhouse.io/scaleai/jobs/4703527005,https://job-boards.greenhouse.io/scaleai/jobs/4703527005,greenhouse,2026-08-21,2026-06-08,,open,60,C,applied_ml,mid,"The ideal candidate will have a strong understanding of software engineering principles and practices, as well as experience with large-scale distributed systems. | You will be responsible for owning large new areas within our product, working across backend, frontend, and interacting with LLMs and ML models. | You will solve hard engineering problems in scalability and reliability. | You will: Own large new areas within our product, driving features from design through production deployment. | Ideally you'd have: 4+ years of full-time engineering experience, post-graduation Strong experience in Python or Javascript/Typescript. | Experience scaling or shipping products at high-growth startups. | Familiarity with LLMs, vector databases, embeddings, or other modern AI tooling (tinkering or production experience welcome). | Proficiency with SQL and modern API development.",retrieval systems; Python; PPO research (CAD); LLM evaluation work; Kubernetes; distributed systems,production LLM deployment at scale; Kubernetes/cloud infra,applied_ml,medium,low,2026-08-21,"audit 2026-08-26: borderline - Strong technical fit: 4+ years experience met (~4.5 yrs), LLM/vector DB/embeddings and distributed systems work aligns directly with agentic RAG, inference serving, and backend scaling background; Role is Software Engineer, Platform which overlaps with ML/AI Engineer target roles but leans generalist full-stack (backend+frontend) rather than dedicated ML/research",52af2250bdbc58eb,tracking/job_descriptions/active/scaleai__Software_Engineer_Platform__4703527005.md,false,scale_ai,gh_4703527005,false,2026-08-23,,L3/L4 index-only,LOW_PRIORITY,39.7,"fit=8.0 research=3.0(+agentic,evaluation,rag,research,retrieval) tech=3.15 agentic=1.56(+agentic) pt=0.0(+) attainability=9.5['location_hard_mismatch'] advantage=0.0[] company=6.0 strategy=5.5 referral=1.5 loc=0.5 urgency=1.0",medium,visa sponsorship unverified,,2026-09-06,48.9,14.8,data pipelines; distributed systems; inference; ppo; python,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; model serving,,2026-08-23,,,borderline,,2026-08-26,,,,16,expired_soon;thin_jd;visa sponsorship unverified
anthropic_research_engineer_computer_use_5285246008,anthropic,"Research Engineer, Computer Use","San Francisco, CA | New York City, NY | Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5285246008,https://job-boards.greenhouse.io/anthropic/jobs/5285246008,greenhouse,2026-08-21,2026-06-30,,open,67,C,applied_ml,mid,"Collaborate with teams across the model training and infrastructure stack to improve our production training setup Partner with product teams to bring research advances into production Minimum. | Qualifications: Software engineering experience and proficiency in Python. | Experience training, fine-tuning, or evaluating machine learning models Strong communication skills and a collaborative working style Care about the societal impacts and safety of your work. | Qualifications: Experience training models for computer use or other agentic capabilities. | Experience with reinforcement learning, particularly in long-horizon or sparse-reward settings. | Familiarity with multimodal model training. | Experience building evaluations or benchmarks for agentic systems. | Experience building reinforcement learning environments, simulation systems, or large-scale ML infrastructure.",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); Python; RL coursework + PPO/GRPO research (GT); LLM evaluation work; benchmarking,,applied_ml,medium,medium,2026-08-21,,159c94f903e6fff0,tracking/job_descriptions/active/anthropic__Research_Engineer_Computer_Use__5285246008.md,false,anthropic,gh_5285246008,false,,,L4,STRETCH,54.9,"fit=10.0 research=6.55(+agentic,benchmark,evaluation,fine-tuning,grpo) tech=0.9 agentic=1.56(+agentic) pt=3.69(+grpo,model improvement,preference,reinforcement learning) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=5.0 referral=1.5 loc=3.0 urgency=1.0",medium,,,2026-09-06,44.4,7.4,machine learning; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,useful,,2026-08-26,,,,16,thin_jd
anthropic_full_stack_software_engineer_reinforcement_learning_5186067008,Anthropic,"Full-Stack Software Engineer, Reinforcement Learning","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5186067008,https://job-boards.greenhouse.io/anthropic/jobs/5186067008,greenhouse,2026-08-23,2026-08-21,2026-08-24,open,,,post_training,,,,,,,,,"audit 2026-08-26: borderline - Candidate has strong ML/RL background (academic RL, agentic systems, evaluation harnesses) and platform-building experience (CAD pipeline, ATHENA, SHASTRA, backend scaling with Golang/OpenSearch) relevant to RL infrastructure work.; Role explicitly requires proficiency in a modern web stack (React, TypeScript) and full-stack ownership from database to frontend, which is not evidenced in the candidate's profile (backend-focused).",16cb0b293b1a5481acda574c8f2830ba00f64631f0f2766d98c8fbaaa4ec1bcb,tracking/job_descriptions/active/anthropic_full_stack_software_engineer_reinforcement_learning_5186067008.md,,anthropic,5186067008,,,,L4,STRETCH,50.9,"fit=8.0 research=4.64(+agentic,evaluation,fine-tuning,long-horizon,multimodal) tech=4.05 agentic=1.56(+agentic) pt=1.23(+preference,reinforcement learning) attainability=12.5['no_years_bar'] advantage=1.2['security_domain_relevance'] company=7.2 strategy=5.0 referral=0.5 loc=3.0 urgency=2.0",medium,,,2026-09-06,44.4,7.4,data pipelines; docker; python,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,borderline,,2026-08-26,,,,,thin_jd
anthropic_research_scientist_takeoff_intel_5370669008,anthropic,"Research Scientist, Takeoff Intel","San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5370669008,https://job-boards.greenhouse.io/anthropic/jobs/5370669008,greenhouse,2026-08-21,2026-07-24,,open,63,C,applied_ml,mid,"Have experience in forecasting, may have published AI forecasting scenarios. | Experience with scaling laws, capability forecasting, or emergent-capability studies A physics, applied-math, or similarly quantitative background that moved into ML Written a system card section, cap | Experience supervising and correcting AI-written code Some examples of our work Anthropic ECI:&nbsp; our adaptation of Epoch. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",RAG pipelines (Fortinet); LLM evaluation work; agent systems (ATHENA supervisor-worker),production LLM deployment at scale; publications at top venues,applied_ml,medium,medium,2026-08-21,audit 2026-08-26: borderline - Compensation ($350k-$850k) far exceeds $150k floor; No explicit years-of-experience bar; 'junior and senior levels' phrasing keeps ~4.5yrs viable,14ce3ac4f2735de9,tracking/job_descriptions/active/anthropic__Research_Scientist_Takeoff_Intel__5370669008.md,false,anthropic,gh_5370669008,false,,,L4,STRETCH,49.7,"fit=10.0 research=4.91(+agents,evaluation,fine-tuning,multimodal,publications) tech=0.0 agentic=0.0(+) pt=0.62(+preference) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=6.0 referral=1.5 loc=3.0 urgency=2.0",medium,,,2026-09-06,41.1,1.9,rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,,2026-08-23,,,borderline,,2026-08-26,,,,16,thin_jd
