section,item,next_command
① APPLY NOW,"  [ 71.1] Deloitte — Research Engineer — Post-Training & Small Language Models (SLMs), Healthcare AI",python scripts/apply_pipeline.py li_deloitte_research_engineer_post_training_small_la_4427044959 --url https://www.linkedin.com/jobs/view/4427044959/
① APPLY NOW,  [ 68.9] Cisco — AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,python scripts/apply_pipeline.py cisco_ai_research_scientist_ii_full_time_united_sta_4457502830 --url https://www.linkedin.com/jobs/view/4457502830/
① APPLY NOW,"  [ 67.0] OpenAI — Research Engineer, Codex",python scripts/apply_pipeline.py li_openai_research_engineer_codex_4417166196 --url https://www.linkedin.com/jobs/view/4417166196/
① APPLY NOW,"  [ 64.2] scale_ai — Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI",python scripts/apply_pipeline.py scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005 --url https://job-boards.greenhouse.io/scaleai/jobs/4658162005
① APPLY NOW,  [ 62.1] scale_ai — Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_frontier_agents_engineer_applied_ai_4720573005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720573005
① APPLY NOW,  [ 61.5] scale_ai — Senior Frontier Agents Engineer (Applied AI),python scripts/apply_pipeline.py scaleai_senior_frontier_agents_engineer_applied_ai_4720478005 --url https://job-boards.greenhouse.io/scaleai/jobs/4720478005
① APPLY NOW,"  [ 61.3] LangChain — Research Engineer, LangSmith Engine",python scripts/apply_pipeline.py li_langchain_research_engineer_langsmith_engine_4453736138 --url https://www.linkedin.com/jobs/view/4453736138/
① APPLY NOW,  [ 61.1] scale_ai — Staff/Senior Machine Learning Research Engineer,python scripts/apply_pipeline.py scale_ai_staff_senior_machine_learning_research_engineer_4714527005 --url https://job-boards.greenhouse.io/scaleai/jobs/4714527005
① APPLY NOW,  [ 60.7] Mistral AI — AI Scientist - Agentic Engineering,python scripts/apply_pipeline.py mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d --url https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204
① APPLY NOW,"  [ 60.6] anthropic — Research Engineer, Code RL (Reinforcement Learning)",python scripts/apply_pipeline.py anthropic_research_engineer_code_rl_reinforcement_learning_5254364008 --url https://job-boards.greenhouse.io/anthropic/jobs/5254364008
③ OUTREACH DUE,"Alia Insignares @ CrowdStrike [Recruiter] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_e8eec6 --status sent_with_note
③ OUTREACH DUE,"Lin Lee Cheong @ Scale AI [hiring_manager] (approved, unsent)",python scripts/connection_queue.py record-sent cr_20260823_077e7e --status sent_with_note
④ APPLICATIONS IN FLIGHT,"Cisco — Cisco — AI Research Scientist II [submitted] (no touch since 2026-08-24, 8d)",python scripts/application_sync.py --mark cisco_cisco_ai_research_scientist_ii_20260824 <acknowledged|interview|rejected> [reason]
⑤ FRESH JOBS,"  [ 38.4] Anduril Industries — Agentic AI Engineer, Automation",python scripts/apply_pipeline.py anduril_industries_agentic_ai_engineer_automation_gh_5219383007 --url https://boards.greenhouse.io/andurilindustries/jobs/5219383007?gh_jid=5219383007
⑤ FRESH JOBS,  [ 33.0] ElevenLabs — Research Engineer - Inference,python scripts/apply_pipeline.py elevenlabs_research_engineer_inference_2d7f9a7c --url https://jobs.ashbyhq.com/elevenlabs/2d7f9a7c-a9e6-4877-bb38-34e4d989054c
⑤ FRESH JOBS,"  [ 30.3] Sierra — Software Engineer, Agent (New Grad 2027)",python scripts/apply_pipeline.py sierra_software_engineer_agent_new_grad_2027_149f368c --url https://jobs.ashbyhq.com/sierra/149f368c-52d5-408f-ba26-ad888f318a00
⑤ FRESH JOBS,"  [ 30.3] Sierra — Software Engineer, Agent (Spanish speaking)",python scripts/apply_pipeline.py sierra_software_engineer_agent_spanish_speaking_1d5cf6f0 --url https://jobs.ashbyhq.com/sierra/1d5cf6f0-feba-46a6-98bc-70a1627a76d0
⑤ FRESH JOBS,"  [ 30.3] Sierra — Intern, Agent Development (Summer 2027)",python scripts/apply_pipeline.py sierra_intern_agent_development_summer_2027_34b31b67 --url https://jobs.ashbyhq.com/sierra/34b31b67-268c-4270-b48f-72e59064c96e
⑤ FRESH JOBS,"  [ 30.3] Sierra — Intern, Agent Development (Winter 2027)",python scripts/apply_pipeline.py sierra_intern_agent_development_winter_2027_02e1c456 --url https://jobs.ashbyhq.com/sierra/02e1c456-8489-4a74-9fe7-af8845b040e4
⑤ FRESH JOBS,  [ 30.1] ElevenLabs — Research Engineer - Web Crawlers,python scripts/apply_pipeline.py elevenlabs_research_engineer_web_crawlers_a89a7892 --url https://jobs.ashbyhq.com/elevenlabs/a89a7892-3d9d-40ab-a3f1-1c6ed1f7b84f
⑤ FRESH JOBS,  [ 30.1] ElevenLabs — Research Engineer - Data Infrastructure,python scripts/apply_pipeline.py elevenlabs_research_engineer_data_infrastructure_9fbd9227 --url https://jobs.ashbyhq.com/elevenlabs/9fbd9227-57e0-4221-9255-1a1d967be8ed
⑤ FRESH JOBS,"  [ 25.9] OpenAI — Strategic Finance, International & Marketing",python scripts/apply_pipeline.py openai_strategic_finance_international_marketing_5b85c0cc --url https://jobs.ashbyhq.com/openai/5b85c0cc-3f19-4b96-9bd3-3b7521e54f44
