job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,audit_verdict,audit_reasons,audit_date,application_ids,referral_contacts,referral_contact_urls,days_since_checked
scaleai_frontier_agents_engineer_applied_ai_4720573005,scale_ai,Frontier Agents Engineer (Applied AI),"San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4720573005,https://job-boards.greenhouse.io/scaleai/jobs/4720573005,greenhouse,2026-08-21,2026-07-31,,open,81,B,agent_reasoning,mid,"Qualifications 4+ years of software engineering, machine learning, or applied AI experience. | Experience building production AI systems using LLMs. | Experience with modern AI tooling, including OpenAI, Claude, MCP, agent frameworks, vector databases, or retrieval systems. | Experience designing or evaluating AI systems using quantitative metrics. | Applied AI Experience building production AI agents or autonomous systems. | Experience designing evaluation frameworks for LLMs and agentic systems. | Experience with RAG, semantic search, knowledge graphs, customer intelligence systems, or structured knowledge representations. | Experience with fine-tuning, distillation, reinforcement learning, small language models, or model optimization.",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); retrieval systems; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); LLM evaluation work; benchmarking; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration; Docker; Kubernetes,,agent_reasoning,medium,high,2026-09-04,,889076c423294ac2,tracking/job_descriptions/active/scaleai__Frontier_Agents_Engineer_Applied_AI__4720573005.md,false,scale_ai,gh_4720573005,,2026-08-23,,L3,OPTIMISTIC,62.1,"fit=10.0 research=11.45(+agentic,agents,benchmark,evaluation,experimentation) tech=1.8 agentic=5.71(+agent framework,agentic,multi-agent,tool use) pt=1.85(+grpo,reinforcement learning) attainability=12.0[] advantage=0.8['fortinet_adjacency'] company=6.0 strategy=6.0 referral=1.5 loc=3.0 urgency=2.0",medium,visa sponsorship unverified,,2026-09-05,47.8,13.0,docker; machine learning; optimization; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,useful,,2026-08-26,,,,1
anthropic_research_engineer_code_rl_reinforcement_learning_5254364008,anthropic,"Research Engineer, Code RL (Reinforcement Learning)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5254364008,https://job-boards.greenhouse.io/anthropic/jobs/5254364008,greenhouse,2026-08-21,2026-06-11,,open,81,B,post_training,mid,"You may be a good fit if you: Have strong software-engineering skills and deep Python expertise, including async/concurrent programming. | Are passionate about the potential impact of AI and are committed to developing safe and beneficial systems Strong candidates may also have: Experience with reinforcement learning, RLHF, post-training | Experience with PyTorch and large-scale distributed training; performance profiling and optimization of ML systems CUDA / GPU or TPU kernel experience and accelerator-performance intuition. | Experience with virtualization and sandboxed code execution environments. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); PyTorch; Python; RL coursework + PPO/GRPO research (GT); RLHF familiarity; post-training research alignment; agent systems (ATHENA supervisor-worker),,RL_Post_Training,medium,low,2026-09-04,,dba0869999198f2c,tracking/job_descriptions/active/anthropic__Research_Engineer_Code_RL_Reinforcement_Learning__5254364008.md,false,anthropic,gh_5254364008,,,,L3,OPTIMISTIC,60.6,"fit=10.0 research=6.55(+agentic,agents,alignment,grpo,long-horizon) tech=3.15 agentic=1.56(+agentic) pt=6.15(+alignment,grpo,post-training,preference) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=6.0 referral=1.5 loc=3.0 urgency=1.0",medium,,,2026-09-05,50.0,16.7,cuda; optimization; profiling; python; pytorch; rag,golang; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,useful,,2026-08-26,,,,1
together_ai_research_engineer_post_training_5179372007,together_ai,"Research Engineer, Post-Training Inference",San Francisco,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,greenhouse,2026-08-19,2026-07-06,2026-08-24,open,92,A,post_training,Mid-level,"Shaping, you will develop a platform that enables users to customize open-source models with their own data. | Working across the training and inference stacks, you will build and improve our Fine-Tuning, Reinforcement. | You will collaborate closely with our product, research, and engineering teams to keep the API reliable, performant, and well integrated into the company's technical infrastructure. | Above all, you will help build the foundational layer of the open-source AI ecosystem, enabling developers around the world to efficiently create high-quality models tailored to their specific applica | Have 2+ years of experience building and deploying machine learning-based services in a production environment. | Have hands-on experience with modern inference engines, such as SGLang, vLLM, and TensorRT-LLM Are familiar with the latest methods for fine-tuning LLMs and other AI models. | Have a strong software engineering background in Python or Go Stay up to date with the latest advance",vLLM inference; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); post-training research alignment; LLM evaluation work; Kubernetes,,RL_Post_Training,high,low,2026-09-04,[dedup:2026-08-22: merged 1 duplicate row(s) by source_id gh_5179372007] EXCELLENT fit - direct match to post-training + inference optimization research. Recent posting.,d660b43e7d097259,tracking/job_descriptions/active/togetherai__Research_Engineer_Post_Training_Inference__5179372007.md,false,together_ai,gh_5179372007,,2026-08-23,togetherai_research_engineer_post_training_inference_5179372007,L3,OPTIMISTIC,57.7,"fit=14.0 research=5.59(+alignment,evaluation,fine-tuning,grpo,inference optimization) tech=4.05 agentic=0.0(+) pt=4.31(+alignment,grpo,post-training,reinforcement learning) attainability=12.0[] advantage=1.2['security_domain_relevance'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",medium,visa sponsorship unverified,,2026-09-05,53.4,22.3,cuda; go; inference; machine learning; optimization; ppo; python; vllm,golang; pytorch; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,useful,,2026-08-26,,,,1
li_4451978665,Nuro,"Applied AI Researcher, Agent Systems & Evaluation","Mountain View, CA",https://www.linkedin.com/jobs/view/4451978665/,https://www.linkedin.com/jobs/view/4451978665/,linkedin,2026-09-05,2026-09-02,,open,,,,,,,,,,,,posted_rel=2 days ago,,,,nuro,li_4451978665,,,,L4,STRETCH,43.4,"fit=14.0 research=1.64(+evaluation,research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=3.0 urgency=3.0",low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4433012132,ServiceNow,"Machine Learning Engineer, Agentic AI Harness & Quality - Moveworks","Mountain View, CA",https://www.linkedin.com/jobs/view/4433012132/,https://www.linkedin.com/jobs/view/4433012132/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,servicenow,li_4433012132,,,,L4,STRETCH,43.1,fit=12.0 research=0.55(+agentic) tech=0.0 agentic=1.56(+agentic) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=6.0 strategy=5.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4462031379,Ambient.ai,Senior Applied Research Scientist - Foundation Models,San Francisco Bay Area,https://www.linkedin.com/jobs/view/4462031379/,https://www.linkedin.com/jobs/view/4462031379/,linkedin,2026-09-05,2026-09-01,,open,,,,,,,,,,,,posted_rel=3 days ago,,,,ambient_ai,li_4462031379,,,,L4,STRETCH,41.1,fit=12.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.5 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4426737684,Deloitte,Agentic AI Engineer — Healthcare AI,"Los Angeles, CA",https://www.linkedin.com/jobs/view/4426737684/,https://www.linkedin.com/jobs/view/4426737684/,linkedin,2026-09-05,2026-09-04,,open,,,,,,,,,,,,posted_rel=12 hours ago,,,,deloitte,li_4426737684,,,,L4,STRETCH,40.4,fit=12.0 research=0.55(+agentic) tech=0.0 agentic=1.56(+agentic) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4411379618,Capital One,"Lead AI Engineer (AI Foundations, LLM Customization and Finetuning)","New York, NY",https://www.linkedin.com/jobs/view/4411379618/,https://www.linkedin.com/jobs/view/4411379618/,linkedin,2026-09-05,2026-08-29,,open,,,,,,,,,,,,posted_rel=6 days ago,,,,capital_one,li_4411379618,,,,L3/L4 index-only,LOW_PRIORITY,38.8,fit=12.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4451404240,Waymo,"ML Engineer, Foundation Model Recipes","New York, NY",https://www.linkedin.com/jobs/view/4451404240/,https://www.linkedin.com/jobs/view/4451404240/,linkedin,2026-09-05,2026-09-01,,open,,,,,,,,,,,,posted_rel=3 days ago,,,,waymo,li_4451404240,,,,L3/L4 index-only,LOW_PRIORITY,38.3,fit=10.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.5 referral=0.5 loc=3.0 urgency=3.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
li_4433423818,Harvey,"Research Engineer, Post-Training","San Francisco, CA",https://www.linkedin.com/jobs/view/4433423818/,https://www.linkedin.com/jobs/view/4433423818/,linkedin,2026-09-05,2026-08-30,,open,,,,,,,,,,,,posted_rel=5 days ago,,,,harvey,li_4433423818,,,,L3/L4 index-only,LOW_PRIORITY,38.0,"fit=8.0 research=1.36(+post-training,research) tech=0.0 agentic=0.0(+) pt=1.85(+post-training) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=3.0 urgency=3.0",low,visa sponsorship unverified; description_file pointer empty,,2026-09-05,,,,,,,,,,,,,,,
