job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,audit_verdict,audit_reasons,audit_date,application_ids,referral_contacts,referral_contact_urls,days_since_checked
cisco_ai_research_scientist_ii_full_time_united_sta_4457502830,Cisco,AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,"San Francisco, CA",https://www.linkedin.com/jobs/view/4457502830/,https://www.linkedin.com/jobs/view/4457502830/,linkedin,2026-08-22,2026-08-21,2026-08-24,open,0,C,eval_inference,unknown,"agent, agentic, cyber, evaluation, fine-tuning, inference, llm, machine learning, post-training, python, pytorch, research, security",,,applied_research_v2,,high,2026-09-01,L1 security-AI sweep 2026-08-22; years_bar=2; security_domain=True [connections:3 @company: Sonam Verma (Strategic Talent Advisor (Hiri); Aditya Ramesh (ML @ Cisco); Ishaan Sathaye (SWE (MS @ Georgia Tech))],8612ad0868464345,tracking/job_descriptions/active/cisco__ai_research_scientist_ii_full_time_united_states_e__4457502830.md,,cisco,li_4457502830,,,,L3,OPTIMISTIC,67.9,"fit=12.0 research=7.09(+agentic,evaluation,experimentation,fine-tuning,inference optimization) tech=5.86 agentic=4.68(+agent framework,agentic,multi-agent) pt=1.85(+post-training) attainability=14.5['accepts_transferable'] advantage=4.4['security_ai_company', 'security_domain_relevance', 'existing_connection_or_referral'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=2.0",medium,visa sponsorship unverified,,2026-09-06,56.7,27.8,agentic ai; data pipelines; docker; inference; machine learning; optimization; python; pytorch; vllm,golang; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving; deep learning,,2026-08-23,completed,,useful,,2026-08-26,,,,5
li_openai_research_engineer_codex_4417166196,OpenAI,"Research Engineer, Codex","San Francisco, CA (On-site)",https://www.linkedin.com/jobs/view/4417166196/,https://www.linkedin.com/jobs/view/4417166196/,linkedin,2026-08-22,,,open,0,C,post_training,unknown,"agent, agentic, alignment, benchmark, experimentation, fine-tuning, model behavior, multi-agent, post-training, reasoning, research, rlhf, synthetic data, tool use",,,agent_reasoning,,low,2026-09-06,"LinkedIn sweep 2026-08-22; queries: LLM Fine-Tuning Engineer [connections:3 @company: Aryan Singh (Engineering (Xantium, OpenAI)); Ayush Soni (Research Engineer); Amrit Khera (Research)]",4a43dfab8b431498,tracking/job_descriptions/active/openai_linkedin_4417166196.md,,openai,li_4417166196,,,,L3,OPTIMISTIC,67.0,"fit=10.0 research=11.32(+agentic,agents,alignment,benchmark,experimentation) tech=0.9 agentic=4.16(+agentic,multi-agent,tool use) pt=7.38(+alignment,model improvement,post-training,rlaif) attainability=13.0['no_years_bar', 'accepts_transferable'] advantage=2.4['security_domain_relevance', 'existing_connection_or_referral'] company=7.36 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-09-06,37.6,5.6,data pipelines; go; machine learning,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,useful,,2026-08-26,,Aryan Singh;Ayush Soni;Amrit Khera,https://www.linkedin.com/in/aryansingh7/;https://www.linkedin.com/in/ayushsoni-in/;https://www.linkedin.com/in/amritk10/,0
scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005,scale_ai,"Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4658162005,https://job-boards.greenhouse.io/scaleai/jobs/4658162005,greenhouse,2026-08-23,,,open,0,,agentic_ai,unknown,"You will work across the full agent lifecycle—from model and system design to evaluation, deployment, and iteration—bridging cutting-edge agentic techniques with the constraints and requirements of re | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); LLM evaluation work; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration,,,,,2026-09-06,"lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes | audit 2026-08-26: borderline - Experience bar of '5+ years' sits slightly above candidate's ~4.5 yrs, but it's listed under 'Ideally you'd have' preferences rather than hard requirements, making it flexible; Strong topical fit: agentic system design, tool use, evaluation frameworks/metrics, and production LLM deployment map directly to candidate's agentic AI, eval-harness, and inference-serving background",bb83119e6b22f275,tracking/job_descriptions/active/scale_ai__senior_staff_machine_learning_research_engineer_ge__4658162005.md,,scale_ai,gh_4658162005,,2026-08-23,,L3,OPTIMISTIC,64.2,"fit=14.0 research=6.82(+agentic,agents,evaluation,fine-tuning,grpo) tech=2.25 agentic=7.79(+agent framework,agentic,multi-agent,orchestration) pt=3.08(+grpo,preference,reinforcement learning,sft) attainability=13.0['accepts_transferable'] advantage=0.8['fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-09-06,40.9,11.1,machine learning; optimization; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,posting date unknown/unparseable,2026-08-23,,,borderline,,2026-08-26,,,,0
scaleai_frontier_agents_engineer_applied_ai_4720573005,scale_ai,Frontier Agents Engineer (Applied AI),"San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4720573005,https://job-boards.greenhouse.io/scaleai/jobs/4720573005,greenhouse,2026-08-21,2026-07-31,,open,81,B,agent_reasoning,mid,"Qualifications 4+ years of software engineering, machine learning, or applied AI experience. | Experience building production AI systems using LLMs. | Experience with modern AI tooling, including OpenAI, Claude, MCP, agent frameworks, vector databases, or retrieval systems. | Experience designing or evaluating AI systems using quantitative metrics. | Applied AI Experience building production AI agents or autonomous systems. | Experience designing evaluation frameworks for LLMs and agentic systems. | Experience with RAG, semantic search, knowledge graphs, customer intelligence systems, or structured knowledge representations. | Experience with fine-tuning, distillation, reinforcement learning, small language models, or model optimization.",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); retrieval systems; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); LLM evaluation work; benchmarking; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration; Docker; Kubernetes,,agent_reasoning,medium,high,2026-09-04,,889076c423294ac2,tracking/job_descriptions/active/scaleai__Frontier_Agents_Engineer_Applied_AI__4720573005.md,false,scale_ai,gh_4720573005,,2026-08-23,,L3,OPTIMISTIC,62.1,"fit=10.0 research=11.45(+agentic,agents,benchmark,evaluation,experimentation) tech=1.8 agentic=5.71(+agent framework,agentic,multi-agent,tool use) pt=1.85(+grpo,reinforcement learning) attainability=12.0[] advantage=0.8['fortinet_adjacency'] company=6.0 strategy=6.0 referral=1.5 loc=3.0 urgency=2.0",medium,visa sponsorship unverified,,2026-09-06,47.8,13.0,docker; machine learning; optimization; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,useful,,2026-08-26,,,,2
li_langchain_research_engineer_langsmith_engine_4453736138,LangChain,"Research Engineer, LangSmith Engine","New York, NY (On-site)",https://www.linkedin.com/jobs/view/4453736138/,https://www.linkedin.com/jobs/view/4453736138/,linkedin,2026-08-22,,,open,0,C,post_training,unknown,"agent, autonomous, benchmark, distributed systems, evaluation, fine-tuning, inference, langchain, langgraph, model behavior, orchestration, post-training, preference, prototype, reinforcement learning, research, rlhf, sft, synthetic data",,JD mentions PhD,,,low,2026-09-06,"LinkedIn sweep 2026-08-22; queries: AI Research Scientist, Applied Scientist AI, LLM Evaluation Research, LLM Fine-Tuning Engineer, Post-Training LLM, Research Engineer Machine Learning; years_bar=4",80bdbf5aae602042,tracking/job_descriptions/active/langchain_linkedin_4453736138.md,,langchain,li_4453736138,,,,L3,OPTIMISTIC,61.3,"fit=10.0 research=8.86(+agents,benchmark,evaluation,fine-tuning,inference optimization) tech=3.15 agentic=3.64(+langchain,langgraph,orchestration) pt=7.38(+post-training,preference,reinforcement learning,rlaif) attainability=13.5['accepts_transferable'] advantage=0.0[] company=4.8 strategy=5.5 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-09-06,45.4,18.6,distributed systems; inference; langchain; langgraph; machine learning; model serving; optimization,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,useful,,2026-08-26,,,,0
anthropic_research_engineer_code_rl_reinforcement_learning_5254364008,anthropic,"Research Engineer, Code RL (Reinforcement Learning)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5254364008,https://job-boards.greenhouse.io/anthropic/jobs/5254364008,greenhouse,2026-08-21,2026-06-11,,open,81,B,post_training,mid,"You may be a good fit if you: Have strong software-engineering skills and deep Python expertise, including async/concurrent programming. | Are passionate about the potential impact of AI and are committed to developing safe and beneficial systems Strong candidates may also have: Experience with reinforcement learning, RLHF, post-training | Experience with PyTorch and large-scale distributed training; performance profiling and optimization of ML systems CUDA / GPU or TPU kernel experience and accelerator-performance intuition. | Experience with virtualization and sandboxed code execution environments. | Required field of study:&nbsp;A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will corre",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); PyTorch; Python; RL coursework + PPO/GRPO research (GT); RLHF familiarity; post-training research alignment; agent systems (ATHENA supervisor-worker),,RL_Post_Training,medium,low,2026-09-04,,dba0869999198f2c,tracking/job_descriptions/active/anthropic__Research_Engineer_Code_RL_Reinforcement_Learning__5254364008.md,false,anthropic,gh_5254364008,,,,L3,OPTIMISTIC,60.6,"fit=10.0 research=6.55(+agentic,agents,alignment,grpo,long-horizon) tech=3.15 agentic=1.56(+agentic) pt=6.15(+alignment,grpo,post-training,preference) attainability=12.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=7.2 strategy=6.0 referral=1.5 loc=3.0 urgency=1.0",medium,,,2026-09-06,50.0,16.7,cuda; optimization; profiling; python; pytorch; rag,golang; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,useful,,2026-08-26,,,,2
li_distyl_applied_ai_researcher_post_training_4315267558,Distyl,"Applied AI Researcher, Post-Training","San Francisco, CA (Hybrid)",https://www.linkedin.com/jobs/view/4315267558/,https://www.linkedin.com/jobs/view/4315267558/,linkedin,2026-08-22,,,open,0,C,post_training,unknown,"agent, agentic, alignment, benchmark, dpo, evaluation, fine-tuning, planning, post-training, preference, prototype, research, reward model, rlhf",,,,,low,2026-09-06,"LinkedIn sweep 2026-08-22; queries: AI Research Scientist, LLM Evaluation Research, LLM Fine-Tuning Engineer, Post-Training LLM; years_bar=5 [connections:3 @company: Aarushi Wagh (Engineer (distyl | georgia tec); Karime Maamari (Head of Research); Kristian F. (Technical Recruiter)]",5dd23caae23809eb,tracking/job_descriptions/active/distyl_linkedin_4315267558.md,,distyl,li_4315267558,,,,L3,OPTIMISTIC,59.1,"fit=12.0 research=8.86(+agentic,alignment,benchmark,dpo,evaluation) tech=0.45 agentic=1.56(+agentic) pt=8.0(+alignment,dpo,post-training,preference) attainability=10.5[] advantage=2.4['security_domain_relevance', 'existing_connection_or_referral'] company=4.8 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-09-06,35.4,1.9,optimization,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,useful,,2026-08-26,,Aarushi Wagh;Karime Maamari;Kristian F.,https://www.linkedin.com/in/aarushi-wagh-aa145b213/;https://www.linkedin.com/in/karime-maamari/;https://www.linkedin.com/in/kristianfisk/,0
cloudflare_senior_machine_learning_engineer_4433121222,Cloudflare,Senior Machine Learning Engineer,"Austin, TX",https://www.linkedin.com/jobs/view/4433121222/,https://www.linkedin.com/jobs/view/4433121222/,linkedin,2026-08-22,2026-08-14,,open,0,C,eval_inference,senior,"agent, agentic, evaluation, fine-tuning, inference, llm, machine learning, python, pytorch, security, soc",,JD mentions PhD,,,high,2026-09-06,L1 security-AI sweep 2026-08-22; years_bar=3; security_domain=True [connections:3 @company: Kaushik Chatterjee (AI Inference); Dennis Molina (Software Engineer (GT MSCS)); Jeremy Fernandez (Software Engineer II (MSCS @ G)],d200ab7c6db4d7e9,tracking/job_descriptions/active/cloudflare__senior_machine_learning_engineer__4433121222.md,,cloudflare,li_4433121222,,,,L3,OPTIMISTIC,59.1,"fit=10.0 research=3.0(+agentic,agents,evaluation,fine-tuning,memory) tech=6.31 agentic=8.0(+agent framework,agentic,langchain,langgraph) pt=0.62(+data engine) attainability=13.0[] advantage=4.4['security_ai_company', 'security_domain_relevance', 'existing_connection_or_referral'] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=2.0",medium,visa sponsorship unverified,,2026-09-06,61.2,35.3,agentic ai; data pipelines; distributed systems; docker; fastapi; inference; langchain; langgraph; llm orchestration; machine learning,golang; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; model serving; deep learning,,2026-08-23,,,useful,,2026-08-26,,,,0
together_ai_research_engineer_large_scale_training_5199554007,together_ai,"Research Engineer, Large-Scale Training",San Francisco,https://job-boards.greenhouse.io/togetherai/jobs/5199554007,https://job-boards.greenhouse.io/togetherai/jobs/5199554007,greenhouse,2026-08-19,2026-07-30,,open,83,B,eval_inference,Mid-level,"Shaping, you will turn cutting-edge research on efficient foundation model training into robust, high-performance systems. | You will profile and optimize Together's training infrastructure, identify performance bottlenecks across the stack, and implement state-of-the-art techniques from both the research literature and our | You will rapidly bring newly released open-source models onto the Model. | Working closely with Research Scientists, you will also build the experimental infrastructure that accelerates research and enables validated ideas to be deployed reliably at scale. | Hands-on experience training or fine-tuning large neural networks in multi-GPU or multi-node environments. | Experience writing optimized NVIDIA GPU kernels using CUDA or Triton, or implementing communication collectives with technologies such as NCCL or NVSHMEM. | Experience with large-scale training frameworks such as FSDP, DeepSpeed, Megatron-LM, or custom distributed training systems. | Experience optimizi",PyTorch; Python; PPO research (CAD); LLM evaluation work; benchmarking,production LLM deployment at scale; publications at top venues; CUDA/GPU kernel work,applied_ml,medium,medium,2026-09-06,"[dedup:2026-08-22: merged 1 duplicate row(s) by source_id gh_5199554007] Recent posting (July 30). Training focus - candidate has gap in distributed training. | Rescored 2026-08-22: realigned to preferences.md v2 priorities (ml_training_arch, training-weighted) | audit 2026-08-26: borderline - Role type matches target (Research Engineer, LLM/post-training adjacent) and pay ($200k-$290k) clears threshold; no stated years-of-experience minimum; Core requirements emphasize large-scale distributed TRAINING (multi-GPU/multi-node fine-tuning, FSDP/DeepSpeed/Megatron, CUDA/Triton kernels, NCCL) while candidate profile evidences inference/serving (vLLM, ONNX edge), agentic systems, and eval harnesses — partial fit via transferable ML-systems/GPU/benchmarking skills",807f1ea6b9bc447b,tracking/job_descriptions/active/togetherai__Research_Engineer_Large_Scale_Training__5199554007.md,false,together_ai,gh_5199554007,,2026-08-23,togetherai_research_engineer_large_scale_training_5199554007,L3,OPTIMISTIC,58.7,"fit=10.0 research=6.14(+agentic,benchmark,evaluation,fine-tuning,memory) tech=5.86 agentic=1.56(+agentic) pt=2.46(+post-training,preference) attainability=13.0['no_years_bar', 'accepts_transferable'] advantage=1.2['security_domain_relevance'] company=6.0 strategy=6.0 referral=1.5 loc=3.0 urgency=2.0",medium,visa sponsorship unverified,,2026-09-06,48.9,14.8,cuda; machine learning; ppo; python; pytorch,golang; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,borderline,,2026-08-26,,,,0
together_ai_research_engineer_post_training_5179372007,together_ai,"Research Engineer, Post-Training Inference",San Francisco,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,greenhouse,2026-08-19,2026-07-06,2026-08-24,open,92,A,post_training,Mid-level,"Shaping, you will develop a platform that enables users to customize open-source models with their own data. | Working across the training and inference stacks, you will build and improve our Fine-Tuning, Reinforcement. | You will collaborate closely with our product, research, and engineering teams to keep the API reliable, performant, and well integrated into the company's technical infrastructure. | Above all, you will help build the foundational layer of the open-source AI ecosystem, enabling developers around the world to efficiently create high-quality models tailored to their specific applica | Have 2+ years of experience building and deploying machine learning-based services in a production environment. | Have hands-on experience with modern inference engines, such as SGLang, vLLM, and TensorRT-LLM Are familiar with the latest methods for fine-tuning LLMs and other AI models. | Have a strong software engineering background in Python or Go Stay up to date with the latest advance",vLLM inference; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); post-training research alignment; LLM evaluation work; Kubernetes,,RL_Post_Training,high,low,2026-09-04,[dedup:2026-08-22: merged 1 duplicate row(s) by source_id gh_5179372007] EXCELLENT fit - direct match to post-training + inference optimization research. Recent posting.,d660b43e7d097259,tracking/job_descriptions/active/togetherai__Research_Engineer_Post_Training_Inference__5179372007.md,false,together_ai,gh_5179372007,,2026-08-23,togetherai_research_engineer_post_training_inference_5179372007,L3,OPTIMISTIC,57.7,"fit=14.0 research=5.59(+alignment,evaluation,fine-tuning,grpo,inference optimization) tech=4.05 agentic=0.0(+) pt=4.31(+alignment,grpo,post-training,reinforcement learning) attainability=12.0[] advantage=1.2['security_domain_relevance'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",medium,visa sponsorship unverified,,2026-09-06,53.4,22.3,cuda; go; inference; machine learning; optimization; ppo; python; vllm,golang; pytorch; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,useful,,2026-08-26,,,,2
